fecha,total,region: América Del Centro,region: América Del Norte,region: Europa,frontera: La Aurora,frontera: Valle Nuevo,frontera: San Cristóbal
2017-02-01,233718.22885076454,166979.10573019806,40764.34532734305,14561.081627321388,94381.0,49272.74258499439,25529.679291944358
2017-03-01,294444.4751136085,219075.70534685743,48536.34855180859,15015.58866638628,106087.0,66234.65596287766,27870.924368038526
2017-04-01,377828.7289698364,309634.008422462,44296.686508325016,11567.855572090974,109982.00000000001,85000.0999999983,53127.00000000005
2017-05-01,243741.78519639446,189615.35754693896,34824.89388502458,8172.053579174342,89609.0,64036.51857741737,25235.87625171837
2017-06-01,247853.40796743412,177782.05194330736,52114.105624126765,7149.947400000001,113862.99999999999,64163.794715147706,15384.790471552182
2017-07-01,291574.27301642345,202947.73817983808,62265.321436585386,13228.9684,134157.0,70739.0703192703,18803.031343891762
2017-08-01,274293.5932154499,210649.62302464846,40281.477990801424,12124.683999999994,100248.0,66947.44214423212,24690.49772480251
2017-09-01,213696.60197929587,166138.01439936445,28514.537579931428,8198.3282,90876.0,62166.047006579414,11715.811354251186
2017-10-01,239055.67001993404,180227.87774458498,37063.30387534907,10459.014500000003,108942.00000000001,63946.60335369448,14868.387929038585
2017-11-01,275693.4157893119,209690.9267201701,40241.03651914181,13871.606100000014,121191.99999999999,71034.06107808513,23647.44902769982
2017-12-01,356109.498921525,277928.6630660552,56120.835855469835,11078.999999999995,142567.0,93447.95882270728,30173.324112642993
2018-01-01,303819.2179742683,229847.23340657077,45420.92776769754,14512.3104,117165.0,74341.2000314484,27494.22845422962
2018-02-01,251666.99157049917,185100.07677973848,41350.9147907607,14219.000000000005,95580.0,58978.36005036289,24925.212071901675
2018-03-01,393020.78296043223,308231.15638934495,58272.6265710873,13939.000000000007,123800.0,85422.55362997063,43928.81091748901
2018-04-01,308239.861353772,244258.98755994975,41174.77879382227,11243.095,104723.0,69698.47405869399,38480.30091298559
2018-05-01,277750.0821155593,216959.0742304726,40062.185485086746,8852.0,103663.0,67063.40056248406,28847.818993960507
2018-06-01,311280.3505085109,234902.6045682296,58332.449940271144,7649.000000017012,120538.00000000009,63228.356479892944,38958.81749704991
2018-07-01,337300.58994755434,248852.39995325293,63754.189994301414,13359.000000000005,134593.0,78335.26725164127,32307.90326091088
2018-08-01,352316.5717399916,280768.6206049612,46511.95113503041,14017.00000000001,110390.00000000073,83743.9957869675,43164.832262970514
2018-09-01,272777.06846753834,222892.34701733154,31230.721450206787,7702.999999999996,94811.29173150646,72030.6429486957,27167.941968014613
2018-10-01,282172.2126978078,218947.53164144602,40830.30135561978,10687.371700216832,114884.9962847312,74185.4149057892,24455.102528009997
2018-11-01,309687.6366610493,234351.36219900285,47376.27446204648,15213.999999999995,135243.36194730835,80025.38138175999,24415.40091470499
2018-12-01,393729.4913142119,301254.13414134795,65049.604659914854,14125.35798443276,156190.3959668107,99505.92068339475,33262.43059277584
2019-01-01,357645.7498163418,281061.70492855995,47828.00000000001,14724.708446837318,126438.70492856001,80376.14782608696,39476.0
2019-02-01,285350.9076318986,215845.97483533187,45015.99999999999,13868.24474340032,106444.17419556303,63013.00689655173,30078.93650793651
2019-03-01,359757.99034261284,278723.46848,55370.0,13904.083808471225,118787.0220572801,75403.0,38812.56756756757
2019-04-01,388538.5481624975,316516.9999999992,48777.99999999985,11110.610124178693,125251.99999999897,97505.05564142195,38339.0
2019-05-01,299297.3401131451,235948.99999999924,43339.00000000024,8259.68955145634,109451.99999999949,72853.0,28766.0
2019-06-01,333161.55536598404,253202.99999999886,61958.00000000015,7212.748080928468,127541.99999999904,66909.97495674614,35950.0
2019-07-01,365333.6909719392,274104.24383442267,66272.0,12848.090689428765,138480.64109759167,81324.03474903475,34076.0
2019-08-01,365512.75428666285,293027.99999999977,48254.00000000019,12647.026976547048,114840.99999999999,88068.66592427617,38419.393939393936
2019-09-01,298250.07724295655,247174.99999999942,32571.000000000084,7419.009860079071,101114.99999999949,72793.20360824742,34013.0
2019-10-01,294503.99136425246,232198.9999999987,41435.0,9658.169718389043,118992.99999999866,78486.65457991928,23336.0
2019-11-01,335783.9260785361,260704.0000000025,47094.99999999975,15912.171799593107,136891.00000000227,87418.17196302181,24752.0
2019-12-01,449114.0705001674,359173.0000000001,64640.999999999935,13673.411952743774,157465.00000000003,111142.0,41912.93
2020-01-01,388222.6026616116,307939.5517241379,51644.0,15121.596391368887,130440.00219828535,83137.0,47132.0
2020-02-01,317917.9765175921,239370.0,51210.0,16224.10861737468,112587.99999999996,70033.07283763278,36282.87096774193
2020-03-01,155415.5760920644,121339.25,23675.0,5748.307240338709,54740.992130115425,25493.172588832487,15053.0
2020-04-01,10039.0,10039.0,0.0,0.0,484.0,201.0,1898.0
2020-05-01,9779.0,9779.0,0.0,0.0,608.0,193.0,2139.0
2020-06-01,11817.0,11817.0,0.0,0.0,1418.0,208.0,2600.0
2020-07-01,13484.0,13484.0,0.0,0.0,1047.0,314.0,2662.0
2020-08-01,15357.0,15357.0,0.0,0.0,1259.0,325.0,2735.0
2020-09-01,12572.49268292683,11220.49268292683,1144.0,22.0,5598.0,944.0,963.0
2020-10-01,16680.78434895513,14208.773559687135,1831.278443106,202.14656290102596,5306.932304319845,2185.6999995599967,282.1000000000001
2020-11-01,52865.0,36164.0,12742.0,1461.0,38988.0,4928.0,151.0
2020-12-01,55620.0,39679.0,13549.0,1008.0,50370.0,80.0,14.0
2021-01-01,89960.0,71529.0,13870.0,2128.0,40801.0,11834.0,2646.0
2021-02-01,52605.0,42917.0,7313.0,946.0,28780.0,8405.0,677.0
2021-03-01,85017.39633341735,53656.378976334614,25250.0,2511.1132655151227,58806.13961892685,6391.436935480299,3165.0
2021-04-01,59743.1902214643,37903.0,17564.0,1957.1727574750762,33042.102901499005,5581.909090909091,3546.0
2021-05-01,73873.0,49645.0,19349.0,2150.0,58366.0,2173.0,1803.0
2021-06-01,95146.0,60745.0,28504.0,2099.0,73409.0,6330.0,2128.0
2021-07-01,97594.66433359256,64960.0,26905.0,2456.0,70338.0,7752.0,2247.0
2021-08-01,72327.0,51192.0,15939.0,2367.0,50329.0,5674.0,2193.0
2021-09-01,67022.99999999996,48794.0,13003.0,1816.0,45550.99999999996,6964.0,2368.0
2021-10-01,83528.0,59170.0,16873.0,3245.0,58214.0,5512.0,2088.0
2021-11-01,98578.0,64724.0,22724.0,5746.0,68341.0,9665.0,2200.0
2021-12-01,223569.1278011966,149703.0,57595.0,8958.21739130434,122055.0,44275.12394366197,10031.0
2022-01-01,134303.0,86499.0,31451.0,8829.0,97425.0,10236.0,4378.0
2022-02-01,193903.6,146716.6,31340.0,9011.0,80430.0,34017.2,15444.8
2022-03-01,227886.0,163872.0,44999.0,10288.0,106039.0,44640.0,10392.0
2022-04-01,292648.0,223294.0,48861.0,11837.0,120691.0,44657.0,24724.0
2022-05-01,260013.0,198203.0,45596.0,7827.0,111743.0,40398.0,32011.0
2022-06-01,269366.0,198702.0,56586.0,5841.0,123396.0,43309.0,39152.0
2022-07-01,306246.0,231554.0,54309.0,10376.0,124569.0,53818.0,26076.0
2022-08-01,297602.0,232241.0,42553.0,11412.0,108814.0,60351.0,28883.0
2022-09-01,246464.0,195304.0,33194.0,6998.0,103185.0,57159.0,18143.0
2022-10-01,281938.0,218504.0,40404.0,9073.0,122906.0,61319.0,23190.0
2022-11-01,318693.0,244172.0,41749.0,20420.0,131130.0,79351.0,20348.0
2022-12-01,400266.0,310516.0,62274.0,12829.0,158073.0,93131.0,40363.0
2023-01-01,258166.18821264658,178469.32493866165,52108.60115686782,13967.67045045045,76213.0,45433.87234627529,16512.845495048674
2023-02-01,198751.85766927942,119271.23096515842,51865.9519356297,15507.741078651703,75139.0,38432.78921090656,16825.04228744933
2023-03-01,251839.50267324006,153935.42964046483,66572.55963862414,17234.144163381854,92427.0,44519.65945947915,17433.87965077692
2023-04-01,283179.2556557847,198941.59208471162,55382.23160902609,14254.783529445063,79177.0,63026.790449355445,24896.635971149684
2023-05-01,213191.03891840694,138774.22764908767,51272.85906832217,9737.398565443464,71800.0,42574.15617964926,19625.442391774846
2023-06-01,224580.17382775573,135248.71404810695,68588.03777387677,7405.357142857143,87748.0,43575.71907316531,18198.774345815476
2023-07-01,257626.95044792976,166137.9578242136,70692.99262371616,9324.0,98942.0,52537.93363914358,26756.03471484238
2023-08-01,264514.08794636687,182500.9684217889,55583.138067283595,12202.287448233263,79084.0,59555.01541972068,23287.164984709514
2023-09-01,218486.4781049799,154869.7513074363,41730.119457500514,6954.275298758103,67300.0,51732.34620334615,22149.60852816035
2023-10-01,164499.38846570507,109570.68390564105,35869.926806526804,8852.71942020386,59320.0,26576.944899911174,16446.929331078532
2023-11-01,255894.27623440052,167001.90696512978,54451.45000323226,16684.333029931116,89115.0,54846.37611349384,25386.749128919866
2023-12-01,327097.6131661195,221296.68974899902,79127.06209514003,13745.922191545675,108287.0,80147.63761785896,41227.94118213955
2024-01-01,292731.86680673156,197656.3923500743,63914.014986960305,15782.69696969697,95943.0,55998.01466922343,21929.572942097624
2024-02-01,265990.67321318097,160647.301921617,69065.90921193836,19031.18935235288,98780.0,47578.588542963764,23935.136703187232
2024-03-01,322310.39400228957,206697.74679208134,81207.71720844385,17712.824049383435,108306.0,69483.89288750275,26547.697318007675
2024-04-01,240988.81729405138,152614.55714114258,60460.321312080916,13101.103428950488,87832.0,45274.21212442566,24120.85168195716
2024-05-01,238807.9548151027,152267.11845642317,61292.18036441695,9831.822660929254,87971.0,52065.83724928357,21453.968641115003
2024-06-01,234781.22686199367,130714.24281410879,82320.16713048855,7704.626441205853,104432.0,43108.65849387046,22598.542094017095
2024-07-01,266974.95506929053,157324.79808869044,82205.10073409877,13120.95633530143,110289.0,52248.67751774468,25821.17375892941
2024-08-01,282101.8310109445,191992.30000509688,61032.010210578876,14104.951861028403,88601.0,72500.72250770808,29214.500666367214
2024-09-01,215658.8098341591,151186.91403864493,41562.9957955142,7823.7,69259.0,47965.38622974952,26201.06611570247
2024-10-01,249665.7008373391,170604.37848348546,50582.22449190525,12275.3759571865,81163.0,55027.38369546927,28210.81861088767
2024-11-01,302674.076910829,201390.66899286205,63735.577115699765,19800.69115285899,97101.0,70012.1751152075,32912.428571428514
2024-12-01,361749.6884796847,242238.76669915067,87399.59165771572,16340.19678948498,112947.0,92168.47324426158,49853.39626168227
2025-01-01,289543.5982553855,187170.21490193796,68397.96450108268,17867.352185698226,101100.0,57653.42273925849,28775.001052128177
2025-02-01,254428.88643334268,155564.88401069562,63957.000584805966,19359.484355323595,92669.0,45789.08259423505,27381.833112549313
2025-03-01,278538.25098417036,167729.99481481058,75852.92901828368,18719.98492418536,107158.0,52055.722781810844,29165.50559779905
2025-04-01,300287.6910735994,203524.058390878,66079.27932998464,14988.54023056482,93445.0,66666.01243304134,32830.57722007722
2025-05-01,247981.9259720942,160973.28389823987,62372.21123519666,9765.477667851861,87746.0,49206.281433425764,30307.12875358966
2025-06-01,254190.0961535216,155037.64178094812,77123.91941036285,7502.44197975448,99386.0,50110.56583836609,28722.0809477379
2025-07-01,283388.6987866118,165620.43786941576,86624.7694980845,14115.050901149934,117314.0,50413.459748524794,26665.326205806752
2025-08-01,293780.5243930469,199695.16911306878,64687.51798660194,14330.169898699036,90568.0,72139.24531894638,31375.40274104548
2025-09-01,218069.51122057904,154323.22999085515,43141.46955528722,7069.12228049728,70415.0,47259.45296034146,27519.32878011761
2025-10-01,255920.93232213068,168768.28081863796,58936.753242921244,11742.760792540792,89989.0,51903.318752531406,28978.163525264437
2025-11-01,310585.52010717517,194775.19206550196,73826.48112406474,22824.349925127284,111541.0,66260.86478555299,33189.546054997205
2025-12-01,365573.02180679794,230511.15194255428,98379.805237231,17977.19796034595,127274.0,89656.1220472439,43150.49753694568
2026-01-01,300664.07527322107,188957.17965209973,73593.52143810508,19157.9054083127,113422.0,52834.376321353244,29973.10559999991
2026-02-01,236844.11361811563,129776.30345186002,70561.89285714286,20117.64108533653,106723.0,36006.248553054684,24361.72711267602
2026-03-01,291160.36570034793,157705.69437418517,91979.38491444387,21565.286411718895,127510.0,45614.281816351235,30181.746185286192
2026-04-01,260951.04561236833,157872.58450827387,69651.81522507363,15281.335701002256,102021.0,48757.224880501926,27222.169056108007
2026-05-01,241312.29525905842,146233.21372086005,67069.11018582762,10869.584810481276,95801.0,44810.39636504233,29394.954717349312
2026-06-01,245687.58097717003,146093.47989936126,74834.618172677,7855.77040513175,98198.0,44166.617542663545,29019.29591547294
